cod_municipio,macrorregiao
521225,Macrorregião Sudoeste
521630,Macrorregião Sudoeste
521975,Macrorregião Nordeste
520085,macrorregião Centro-Oeste
520360,macrorregião Centro-Oeste
521590,macrorregião Centro-Oeste
520357,Macrorregião Centro-Norte
521405,Macrorregião Centro-Norte
522020,Macrorregião Centro-Norte
520020,Macrorregião Centro Sudeste
520425,Macrorregião Centro Sudeste
520480,Macrorregião Centro Sudeste
520915,Macrorregião Centro Sudeste
521480,Macrorregião Centro Sudeste
522205,Macrorregião Centro Sudeste
520410,Macrorregião Sudoeste
520430,Macrorregião Sudoeste
521130,Macrorregião Sudoeste
521805,Macrorregião Sudoeste
520160,macrorregião Centro-Oeste
520215,macrorregião Centro-Oeste
520250,macrorregião Centro-Oeste
520460,macrorregião Centro-Oeste
521400,macrorregião Centro-Oeste
522140,macrorregião Centro-Oeste
520110,Macrorregião Centro-Norte
520860,Macrorregião Centro-Norte
521377,Macrorregião Centro-Norte
521410,Macrorregião Centro-Norte
521860,Macrorregião Centro-Norte
521870,Macrorregião Centro-Norte
520050,Macrorregião Centro Sudeste
520390,Macrorregião Centro Sudeste
522130,Macrorregião Centro Sudeste
520549,Macrorregião Nordeste
520940,Macrorregião Nordeste
521490,Macrorregião Nordeste
520005,macrorregião Centro-Oeste
520310,macrorregião Centro-Oeste
520393,macrorregião Centro-Oeste
520710,macrorregião Centro-Oeste
521030,macrorregião Centro-Oeste
520750,Macrorregião Centro-Norte
520815,Macrorregião Centro-Norte
521180,Macrorregião Centro-Norte
521560,Macrorregião Centro-Norte
521970,Macrorregião Centro-Norte
520355,Macrorregião Centro Sudeste
520590,Macrorregião Centro Sudeste
520660,Macrorregião Centro Sudeste
520970,Macrorregião Centro Sudeste
521530,Macrorregião Centro Sudeste
521920,Macrorregião Centro Sudeste
520440,Macrorregião Sudoeste
520396,Macrorregião Nordeste
520490,Macrorregião Nordeste
521270,Macrorregião Nordeste
522220,Macrorregião Nordeste
520760,macrorregião Centro-Oeste
520870,macrorregião Centro-Oeste
520920,macrorregião Centro-Oeste
520960,macrorregião Centro-Oeste
521056,macrorregião Centro-Oeste
521160,macrorregião Centro-Oeste
521640,macrorregião Centro-Oeste
520980,Macrorregião Centro-Norte
521460,Macrorregião Centro-Norte
521486,Macrorregião Centro-Norte
520740,Macrorregião Centro Sudeste
520995,Macrorregião Centro Sudeste
521380,Macrorregião Centro Sudeste
521550,Macrorregião Centro Sudeste
522180,Macrorregião Centro Sudeste
522050,Macrorregião Sudoeste
522070,Macrorregião Nordeste
521020,macrorregião Centro-Oeste
521720,macrorregião Centro-Oeste
521690,Macrorregião Centro-Norte
522160,Macrorregião Centro-Norte
521580,Macrorregião Centro Sudeste
521839,Macrorregião Centro Sudeste
521878,Macrorregião Centro Sudeste
522045,Macrorregião Centro Sudeste
522060,Macrorregião Centro Sudeste
520017,Macrorregião Nordeste
520680,macrorregião Centro-Oeste
521200,macrorregião Centro-Oeste
521540,macrorregião Centro-Oeste
520495,Macrorregião Centro-Norte
520552,Macrorregião Centro-Norte
521280,Macrorregião Centro-Norte
521890,Macrorregião Centro-Norte
520140,Macrorregião Centro Sudeste
520850,Macrorregião Centro Sudeste
521260,Macrorregião Centro Sudeste
522190,Macrorregião Centro Sudeste
520547,Macrorregião Sudoeste
522040,Macrorregião Sudoeste
522155,Macrorregião Sudoeste
520400,Macrorregião Nordeste
520130,macrorregião Centro-Oeste
520280,macrorregião Centro-Oeste
520929,macrorregião Centro-Oeste
521483,macrorregião Centro-Oeste
521680,macrorregião Centro-Oeste
521950,macrorregião Centro-Oeste
521990,macrorregião Centro-Oeste
520840,Macrorregião Centro-Norte
522145,Macrorregião Centro-Norte
520145,Macrorregião Sudoeste
521300,Macrorregião Sudoeste
521850,Macrorregião Sudoeste
520080,Macrorregião Nordeste
520530,Macrorregião Nordeste
520670,Macrorregião Nordeste
522000,Macrorregião Nordeste
520170,macrorregião Centro-Oeste
520380,macrorregião Centro-Oeste
520890,macrorregião Centro-Oeste
521000,macrorregião Centro-Oeste
521120,macrorregião Centro-Oeste
521140,macrorregião Centro-Oeste
521520,macrorregião Centro-Oeste
520030,Macrorregião Centro-Norte
520082,Macrorregião Centro-Norte
520580,Macrorregião Centro-Norte
521015,Macrorregião Centro-Norte
522170,Macrorregião Centro-Norte
520450,Macrorregião Centro Sudeste
520455,Macrorregião Centro Sudeste
520630,Macrorregião Centro Sudeste
520910,Macrorregião Centro Sudeste
521980,Macrorregião Nordeste
522108,Macrorregião Nordeste
521340,macrorregião Centro-Oeste
521500,macrorregião Centro-Oeste
521973,macrorregião Centro-Oeste
520055,Macrorregião Centro-Norte
520320,Macrorregião Centro-Norte
520810,Macrorregião Centro-Norte
520945,Macrorregião Centro-Norte
521305,Macrorregião Centro-Norte
522157,Macrorregião Centro-Norte
520120,Macrorregião Centro Sudeste
520735,Macrorregião Centro Sudeste
520993,Macrorregião Centro Sudeste
521210,Macrorregião Centro Sudeste
521930,Macrorregião Sudoeste
520090,macrorregião Centro-Oeste
521040,macrorregião Centro-Oeste
521390,macrorregião Centro-Oeste
521440,macrorregião Centro-Oeste
521900,macrorregião Centro-Oeste
522005,macrorregião Centro-Oeste
520500,Macrorregião Centro-Norte
521525,Macrorregião Centro-Norte
520180,Macrorregião Centro Sudeste
520690,Macrorregião Centro Sudeste
521010,Macrorregião Centro Sudeste
521710,Macrorregião Centro Sudeste
521810,Macrorregião Sudoeste
520620,Macrorregião Nordeste
521830,Macrorregião Nordeste
522068,Macrorregião Nordeste
520235,macrorregião Centro-Oeste
520570,macrorregião Centro-Oeste
521220,macrorregião Centro-Oeste
522150,macrorregião Centro-Oeste
520470,Macrorregião Centro-Norte
520540,Macrorregião Centro-Norte
521090,Macrorregião Centro-Norte
521385,Macrorregião Centro-Norte
521945,Macrorregião Centro-Norte
522119,Macrorregião Centro-Norte
520330,Macrorregião Centro Sudeste
521170,Macrorregião Centro Sudeste
521740,Macrorregião Centro Sudeste
521770,Macrorregião Centro Sudeste
521080,Macrorregião Sudoeste
521190,Macrorregião Sudoeste
521880,Macrorregião Sudoeste
521971,Macrorregião Sudoeste
520025,Macrorregião Nordeste
520790,Macrorregião Nordeste
520520,macrorregião Centro-Oeste
521370,macrorregião Centro-Oeste
521450,macrorregião Centro-Oeste
521565,macrorregião Centro-Oeste
521910,macrorregião Centro-Oeste
521925,macrorregião Centro-Oeste
522100,macrorregião Centro-Oeste
520010,Macrorregião Centro-Norte
520640,Macrorregião Centro-Norte
520510,Macrorregião Centro Sudeste
521150,Macrorregião Centro Sudeste
520013,Macrorregião Sudoeste
521310,Macrorregião Sudoeste
520830,Macrorregião Nordeste
521523,Macrorregião Nordeste
521295,macrorregião Centro-Oeste
520465,Macrorregião Centro-Norte
521308,Macrorregião Centro-Norte
521487,Macrorregião Centro-Norte
522015,Macrorregião Centro-Norte
522026,Macrorregião Centro Sudeste
522200,Macrorregião Centro Sudeste
520150,Macrorregião Sudoeste
521375,Macrorregião Sudoeste
521250,Macrorregião Nordeste
521760,Macrorregião Nordeste
520753,macrorregião Centro-Oeste
522010,macrorregião Centro-Oeste
521060,Macrorregião Centro-Norte
521935,Macrorregião Centro-Norte
522028,Macrorregião Centro-Norte
522230,Macrorregião Centro-Norte
520545,Macrorregião Centro Sudeste
521290,Macrorregião Centro Sudeste
520725,Macrorregião Sudoeste
520800,Macrorregião Nordeste
522185,Macrorregião Nordeste
520260,macrorregião Centro-Oeste
520340,macrorregião Centro-Oeste
521100,macrorregião Centro-Oeste
521205,macrorregião Centro-Oeste
520551,Macrorregião Centro-Norte
521730,Macrorregião Centro-Norte
520650,Macrorregião Centro Sudeste
521600,Macrorregião Centro Sudeste
520505,Macrorregião Sudoeste
521645,Macrorregião Sudoeste
521940,Macrorregião Sudoeste
520060,Macrorregião Nordeste
520990,Macrorregião Nordeste
521350,Macrorregião Nordeste
520015,macrorregião Centro-Oeste
520420,macrorregião Centro-Oeste
520780,macrorregião Centro-Oeste
520880,macrorregião Centro-Oeste
521570,macrorregião Centro-Oeste
520485,Macrorregião Centro-Norte
521470,Macrorregião Centro-Norte
521800,Macrorregião Centro-Norte
521960,Macrorregião Centro-Norte
520350,Macrorregião Centro Sudeste
521230,Macrorregião Centro Sudeste
